datetime,demand,plant,net_generation,coal,hydro,natural_gas,nuclear,other,solar,wind,total_interchange
20220203T23Z,64660.0,ERCO,48198.0,5866.0,6.0,19376.0,5132.0,152.0,0.0,17665.0,-190.0
20220203T22Z,63889.0,ERCO,49787.0,7697.0,5.0,19156.0,5132.0,179.0,0.0,17617.0,-144.0
20220203T21Z,63699.0,ERCO,51258.0,9498.0,6.0,18978.0,5132.0,168.0,0.0,17475.0,-198.0
20220203T20Z,63913.0,ERCO,52142.0,10279.0,25.0,19046.0,5131.0,160.0,0.0,17500.0,-66.0
20220203T19Z,64054.0,ERCO,52366.0,10497.0,44.0,19023.0,5132.0,157.0,0.0,17512.0,-151.0
20220203T18Z,63915.0,ERCO,51934.0,10011.0,53.0,19485.0,5132.0,137.0,1.0,17115.0,-189.0
20220203T17Z,63285.0,ERCO,50056.0,8441.0,25.0,19075.0,5132.0,136.0,141.0,17107.0,-183.0
20220203T16Z,62092.0,ERCO,48212.0,6318.0,25.0,18689.0,5132.0,128.0,558.0,17364.0,21.0
20220203T15Z,60450.0,ERCO,46772.0,6140.0,5.0,17183.0,5132.0,107.0,1002.0,17202.0,-98.0
20220203T14Z,58895.0,ERCO,46443.0,6588.0,5.0,15697.0,5133.0,115.0,1516.0,17389.0,-3.0
20220203T13Z,56389.0,ERCO,46247.0,7021.0,5.0,14508.0,5139.0,120.0,1739.0,17715.0,0.0
20220203T12Z,53151.0,ERCO,45808.0,7370.0,6.0,13981.0,5142.0,150.0,1574.0,17587.0,0.0
20220203T11Z,50666.0,ERCO,45409.0,6895.0,6.0,14071.0,5141.0,115.0,1236.0,17945.0,128.0
20220203T10Z,49059.0,ERCO,44954.0,5809.0,6.0,13910.0,5140.0,129.0,764.0,19196.0,203.0
20220203T09Z,47915.0,ERCO,44208.0,5713.0,26.0,13874.0,5140.0,150.0,304.0,19002.0,186.0
20220203T08Z,47259.0,ERCO,43340.0,5657.0,26.0,13584.0,5138.0,165.0,104.0,18666.0,-5.0
20220203T07Z,47374.0,ERCO,42457.0,5331.0,26.0,12925.0,5135.0,191.0,10.0,18840.0,-241.0
20220203T06Z,48389.0,ERCO,40609.0,4956.0,26.0,12357.0,5136.0,151.0,0.0,17986.0,-18.0
20220203T05Z,49932.0,ERCO,37092.0,4605.0,7.0,10510.0,5135.0,104.0,0.0,16733.0,-44.0
20220203T04Z,51457.0,ERCO,34911.0,4668.0,7.0,9651.0,5135.0,158.0,0.0,15291.0,63.0
20220203T03Z,52209.0,ERCO,33952.0,4558.0,7.0,9349.0,5135.0,110.0,0.0,14793.0,12.0
20220203T02Z,52517.0,ERCO,34000.0,4636.0,7.0,9270.0,5135.0,124.0,0.0,14829.0,101.0
20220203T01Z,52123.0,ERCO,34220.0,4885.0,7.0,9168.0,5136.0,141.0,0.0,14882.0,42.0
20220203T00Z,50240.0,ERCO,35017.0,5457.0,26.0,9121.0,5136.0,157.0,0.0,15119.0,30.0
