datetime,forecast_demand,plant
20220204T06Z,60276,ERCO
20220204T05Z,62314,ERCO
20220204T04Z,64726,ERCO
20220204T03Z,66282,ERCO
20220204T02Z,66541,ERCO
20220204T01Z,65860,ERCO
20220204T00Z,63258,ERCO
20220203T23Z,60970,ERCO
20220203T22Z,59992,ERCO
20220203T21Z,60430,ERCO
20220203T20Z,61250,ERCO
20220203T19Z,62035,ERCO
20220203T18Z,62727,ERCO
20220203T17Z,62903,ERCO
20220203T16Z,62401,ERCO
20220203T15Z,61824,ERCO
20220203T14Z,61244,ERCO
20220203T13Z,58143,ERCO
20220203T12Z,52511,ERCO
20220203T11Z,48517,ERCO
20220203T10Z,46414,ERCO
20220203T09Z,45483,ERCO
20220203T08Z,44849,ERCO
20220203T07Z,44818,ERCO
20220203T06Z,43535,ERCO
20220203T05Z,45234,ERCO
20220203T04Z,47007,ERCO
20220203T03Z,48498,ERCO
20220203T02Z,49138,ERCO
20220203T01Z,48907,ERCO
20220203T00Z,47508,ERCO
20220202T23Z,46341,ERCO
20220202T22Z,45590,ERCO
20220202T21Z,45339,ERCO
20220202T20Z,45218,ERCO
20220202T19Z,44970,ERCO
20220202T18Z,44756,ERCO
20220202T17Z,44267,ERCO
20220202T16Z,43482,ERCO
20220202T15Z,42714,ERCO
20220202T14Z,42332,ERCO
20220202T13Z,40462,ERCO
20220202T12Z,36791,ERCO
20220202T11Z,34521,ERCO
20220202T10Z,33621,ERCO
20220202T09Z,33468,ERCO
20220202T08Z,33775,ERCO
20220202T07Z,34608,ERCO
20220202T06Z,36090,ERCO
20220202T05Z,38198,ERCO
20220202T04Z,40342,ERCO
20220202T03Z,41877,ERCO
20220202T02Z,42604,ERCO
20220202T01Z,42281,ERCO
20220202T00Z,41114,ERCO
20220201T23Z,40581,ERCO
20220201T22Z,40448,ERCO
20220201T21Z,40769,ERCO
20220201T20Z,41113,ERCO
20220201T19Z,41373,ERCO
20220201T18Z,41815,ERCO
20220201T17Z,42221,ERCO
20220201T16Z,42460,ERCO
20220201T15Z,42778,ERCO
20220201T14Z,43113,ERCO
20220201T13Z,41246,ERCO
20220201T12Z,37062,ERCO
20220201T11Z,34556,ERCO
20220201T10Z,33634,ERCO
20220201T09Z,33502,ERCO
20220201T08Z,34054,ERCO
20220201T07Z,35148,ERCO
20220201T06Z,37274,ERCO
20220201T05Z,39830,ERCO
20220201T04Z,42396,ERCO
20220201T03Z,44172,ERCO
20220201T02Z,45217,ERCO
20220201T01Z,45642,ERCO
20220201T00Z,44074,ERCO
20220131T23Z,42985,ERCO
20220131T22Z,42753,ERCO
20220131T21Z,43135,ERCO
20220131T20Z,43625,ERCO
20220131T19Z,44065,ERCO
20220131T18Z,44539,ERCO
20220131T17Z,44903,ERCO
20220131T16Z,44999,ERCO
20220131T15Z,44977,ERCO
20220131T14Z,45000,ERCO
20220131T13Z,43083,ERCO
20220131T12Z,38965,ERCO
20220131T11Z,36353,ERCO
20220131T10Z,35348,ERCO
20220131T09Z,35221,ERCO
20220131T08Z,35669,ERCO
20220131T07Z,36733,ERCO
20220131T06Z,38426,ERCO
20220131T05Z,40514,ERCO
20220131T04Z,42306,ERCO
20220131T03Z,43123,ERCO
20220131T02Z,43281,ERCO
20220131T01Z,42541,ERCO
20220131T00Z,39449,ERCO
20220130T23Z,37760,ERCO
20220130T22Z,37581,ERCO
20220130T21Z,38080,ERCO
20220130T20Z,38954,ERCO
20220130T19Z,40169,ERCO
20220130T18Z,41662,ERCO
20220130T17Z,43346,ERCO
20220130T16Z,45161,ERCO
20220130T15Z,46353,ERCO
20220130T14Z,45887,ERCO
20220130T13Z,44047,ERCO
20220130T12Z,41893,ERCO
20220130T11Z,40474,ERCO
20220130T10Z,39826,ERCO
20220130T09Z,39639,ERCO
20220130T08Z,40220,ERCO
20220130T07Z,41223,ERCO
20220130T06Z,42116,ERCO
20220130T05Z,43053,ERCO
20220130T04Z,43840,ERCO
20220130T03Z,43994,ERCO
20220130T02Z,43914,ERCO
20220130T01Z,43200,ERCO
20220130T00Z,40640,ERCO
20220129T23Z,39285,ERCO
20220129T22Z,39199,ERCO
20220129T21Z,39911,ERCO
20220129T20Z,41195,ERCO
20220129T19Z,42888,ERCO
20220129T18Z,44882,ERCO
20220129T17Z,47073,ERCO
20220129T16Z,49309,ERCO
20220129T15Z,51053,ERCO
20220129T14Z,51083,ERCO
20220129T13Z,49276,ERCO
20220129T12Z,46986,ERCO
20220129T11Z,45282,ERCO
20220129T10Z,44322,ERCO
20220129T09Z,43866,ERCO
20220129T08Z,44022,ERCO
20220129T07Z,44523,ERCO
20220129T06Z,46054,ERCO
20220129T05Z,47484,ERCO
20220129T04Z,48885,ERCO
20220129T03Z,49421,ERCO
20220129T02Z,49484,ERCO
20220129T01Z,48874,ERCO
20220129T00Z,46257,ERCO
20220128T23Z,44847,ERCO
20220128T22Z,44622,ERCO
20220128T21Z,45366,ERCO
20220128T20Z,46487,ERCO
20220128T19Z,47791,ERCO
20220128T18Z,49444,ERCO
20220128T17Z,50944,ERCO
20220128T16Z,52202,ERCO
20220128T15Z,53268,ERCO
20220128T14Z,53697,ERCO
20220128T13Z,51499,ERCO
20220128T12Z,47104,ERCO
20220128T11Z,44073,ERCO
20220128T10Z,42667,ERCO
20220128T09Z,42222,ERCO
20220128T08Z,42050,ERCO
20220128T07Z,42506,ERCO
20220128T06Z,43210,ERCO
20220128T05Z,44731,ERCO
20220128T04Z,46265,ERCO
20220128T03Z,47389,ERCO
20220128T02Z,47787,ERCO
20220128T01Z,47592,ERCO
20220128T00Z,45310,ERCO
20220127T23Z,43735,ERCO
20220127T22Z,43428,ERCO
20220127T21Z,44201,ERCO
20220127T20Z,45342,ERCO
20220127T19Z,46579,ERCO
20220127T18Z,48080,ERCO
